OP,A1,A2,A3,A4,A5
+,4726,6144,5195,6861,6182
+,6513,9578,2760,3495,4741
+,9142,5565,6473,6608,3478
+,3405,7064,9624,5412,7180
+,7890,6395,9312,7147,7095
+,641,7883,1802,8693,7485
+,7549,6734,3536,991,9396
-,5508,8541,8013,3590,7933
+,1195,7568,4397,7760,1908
+,7006,2189,8653,2102,6230
+,2508,562,6463,9571,6064
+,6488,6608,457,7713,5452
+,3585,8785,4802,244,5387
+,2101,9678,2182,3536,3160
+,188,9388,6752,204,6209
+,2124,9228,3268,8368,3126
+,5549,8486,6640,9150,5475
+,2266,6983,8333,5684,4023
-,7600,6113,6597,9006,4938
+,9964,2538,1001,7599,5848
+,3148,4128,9163,9862,3479
+,5402,5006,6386,3943,8731
+,270,7899,110,9725,2520
+,1053,4030,6381,8620,2198
+,4052,1956,4039,7212,7545
+,3400,3692,9662,8016,7253
+,3847,2797,8492,4039,9949
+,4869,2676,3206,8831,8241
+,9091,5686,7231,8488,6590
-,5748,5858,4092,2512,9494
+,147,7109,5901,5743,7622
+,1491,5061,1329,8569,9306
+,1964,79,2864,9199,2104
+,3897,95,5033,1006,4216
+,9059,4136,6912,981,6180
+,2976,5976,8821,1786,2887
+,1309,1481,829,931,3697
+,9183,3925,7826,5113,9662
+,6936,9841,1216,9900,1224
+,4327,7706,8968,4613,7157
-,1662,5931,4549,1523,7421
+,5490,8938,8725,5181,3197
+,4733,2777,6515,9034,9637
+,3197,4733,2743,3555,256
+,9387,8841,1994,8788,8864
+,8148,9019,5733,7002,4182
+,6119,1225,6849,5636,1966
+,5908,6691,3224,5190,4845
+,3815,9712,6410,6583,2785
+,7580,2771,3732,3165,9489
+,6243,6049,4710,2305,3166
-,514,2990,2246,3231,4557
+,8973,2531,7243,7541,9218
+,8714,4394,6996,3831,5800
+,8997,7787,9180,9149,473
+,8182,402,9959,1424,2515
+,7264,1623,511,7721,1335
+,384,3417,4550,208,2874
+,160,9269,7615,4517,4577
+,3124,9559,328,832,7202
+,7412,5823,747,5412,1802
+,7589,1961,468,1093,9853
-,4772,5823,9525,8895,7009
+,8863,3499,4641,6669,341
+,1137,4539,8196,2154,260
+,124,5720,8083,8771,1995
+,3327,3475,9856,3090,5620
+,7375,1529,3691,8392,3196
+,6983,6045,4658,6893,9487
+,4012,518,4835,3280,8357
+,7319,2304,6032,5721,5828
+,2445,5239,6035,9364,6283
+,7864,1043,3149,4632,4323
-,5279,4235,479,7666,4137
+,9907,2339,2199,2446,5898
+,2849,5438,3399,9175,2642
+,7585,3787,7195,6800,240
+,3577,4177,4745,9119,913
+,3545,3063,6285,8073,1507
+,7914,658,5059,7817,9449
+,2948,83,5202,8963,1799
+,987,8679,4462,4579,1936
+,4293,2675,342,3593,6222
+,5412,638,3976,7586,7874
-,6744,5843,1919,9138,1060
+,642,8021,2090,4057,5160
+,2509,8358,6432,6184,5840
+,111,271,2343,8889,3100
+,2975,4760,6772,7957,2469
+,7399,9806,9757,2472,2099
+,1689,5142,1376,2388,2017
+,6700,888,5203,390,4808
+,7336,9251,7650,1127,1723
+,6156,1591,5812,4597,1424
+,7419,9946,9822,3961,5055
-,2238,483,2178,1500,5724
+,4620,7413,7663,3526,7922
+,769,1605,7041,2129,3916
+,3691,2211,6127,8111,8900
+,1489,8590,6267,889,1058
+,3196,606,1776,5857,1429
+,6346,1951,6833,1270,2037
+,5188,5691,384,1474,5056
+,6134,7988,134,7242,459
+,9721,8089,7472,2240,7681
+,6853,5298,5702,9356,4699
-,2523,186,1244,8596,9640
+,5826,7174,7395,9226,3310
+,606,9470,5243,6462,2173
+,6372,8306,3118,8260,3655
+,1358,9465,2081,8403,7523
+,1579,9473,3005,2322,2926
+,3208,3005,9241,3065,7472
+,5184,7781,6375,5579,3113
+,6398,1983,4365,5890,1354
+,7958,1872,9912,171,3988
+,2822,1062,5722,8264,9122
-,6248,1000,3609,3860,4289
+,382,604,5659,3978,7938
+,4375,739,480,6964,1533
+,2648,4049,7626,1730,3280
+,4232,6171,9562,1612,8389
+,9589,1390,6905,4028,5235
+,1608,9873,2561,2088,6303
+,6841,3996,6568,2747,4344
+,8845,4380,698,3051,529
+,2633,3739,8275,7550,6327
+,621,5364,1241,1357,8329
-,9218,5261,7378,1305,8049
+,693,9429,8427,2638,441
+,3201,9932,4671,3749,6196
+,4303,2729,1989,6705,1508
+,9131,7627,5700,8701,6466
+,3755,7819,2654,260,6054
+,8715,5059,8757,1342,3173
+,3941,8644,7321,4340,5295
+,1774,2971,9760,637,4586
+,6653,150,8556,161,8120
+,2760,2062,831,6284,4934
-,3489,2814,4259,6572,2924
+,9732,8863,1428,6125,5303
+,9712,8439,7385,8136,8116
+,115,1920,378,9041,2289
+,2298,7875,3256,1827,2389
+,7312,5843,8180,8986,2235
+,9630,5618,982,87,3010
+,3093,852,7174,7680,3442
+,9501,5245,9213,311,7772
+,9432,3432,9779,9855,223
+,6980,5997,9955,9487,6221
-,4148,5483,4129,9398,1405
+,3243,8940,2231,9964,8939
+,7462,8935,3018,1699,3639
+,3044,9591,3604,2432,6563
+,1071,6531,4544,158,1258
+,6136,6449,8074,4860,3202
+,1199,5582,2559,931,5931
+,8771,1730,6921,3998,9729
+,2003,3648,2569,8810,3346
+,8742,4933,7049,3327,4380
+,5382,5600,63,3908,2132
-,3831,4,6939,4734,4087
+,2502,6818,2927,7097,5737
+,6793,6102,3955,4116,4964
+,9735,2889,7717,7360,9178
+,3836,6349,4330,4724,9362
+,9389,2976,9524,4665,1445
+,3073,6265,2395,2677,6681
+,5662,1362,9004,9658,1538
+,4917,1540,4187,5429,6917
+,1298,145,3434,4600,5184
+,1393,6794,5515,6841,5577
-,9174,4310,8486,3476,9463
+,6174,6119,8805,1007,6835
+,2282,5505,272,5570,5223
+,1383,2026,9897,1244,6443
+,6326,5234,7277,9648,3020
+,6514,752,4876,960,2321
+,9030,6287,5801,1750,3672
+,4191,7328,5364,8668,8710
+,4310,2172,1159,6316,5602
+,5726,1695,4250,207,1151
+,2854,94,1423,8926,2111
-,3895,7333,2607,9910,8570
+,7055,6792,3951,493,9467
+,2348,4028,8831,9171,184
+,1999,5742,9622,9142,9821
+,6341,2868,7099,4945,7341
+,9960,6114,1501,2875,2830
+,3007,5144,7247,1437,1526
+,2861,1269,6908,1456,9031
+,525,8338,870,9611,3983
+,9482,1480,6438,3022,8356
+,7097,4515,7394,7457,5516
-,3321,2085,5961,8990,6954
+,8613,5302,3462,2307,7984
+,6335,3498,2342,7644,4143
+,8791,6241,6703,8625,5473
+,7410,9822,1662,4365,4706
+,2816,4212,3514,207,6756
+,6486,3294,9724,9780,9272
+,7136,5280,4251,3097,4163
+,3909,2185,6707,7885,4077
+,6733,7335,5562,501,2632
+,1041,8960,8079,3255,4713
-,4808,2562,262,9311,7244
+,4510,969,2709,2732,3560
+,2473,5038,726,8605,1258
+,7397,1817,2087,6081,1261
+,581,5375,4132,9547,9649
+,8273,1449,7235,9935,8210
+,7037,1227,7383,4539,1901
+,4339,1898,3755,3791,1631
+,7022,5424,9788,2156,909
+,626,9333,4343,2217,6403
+,7805,3412,3327,9680,7659
-,5408,2516,338,1735,7400
+,1385,6585,5152,7877,9420
+,193,3294,6840,7608,6734
+,838,2179,1236,7085,7114
+,9206,955,5497,2573,4777
+,2275,145,9870,8671,6513
+,5383,3291,2756,4607,5341
+,8378,9886,6688,5760,3946
+,813,1952,3440,1970,4097
+,9281,2117,5635,729,8859
+,3482,4246,3438,6839,5756
-,9284,179,9058,3020,5532
+,2889,2336,10000,398,3395
+,587,6686,5687,479,1677
+,5732,726,456,7473,1535
+,2274,314,578,7225,8898
+,9562,9716,4695,5589,2990
+,411,3776,7262,1554,9669
+,6145,3770,3219,8018,2458
+,6862,6102,601,9549,6663
+,6309,5357,6879,4248,8065
+,8897,1272,7017,3225,9068
-,8016,1215,1193,8854,7287
+,6608,8042,4514,7612,6894
+,5024,8270,4217,2291,2234
+,6619,4644,8254,5555,4841
+,6636,1733,3131,8898,4949
+,9707,7508,5925,6975,4514
+,3963,8253,1063,2683,7711
+,6255,1746,5388,5842,1747
+,1087,2065,939,51,6846
+,169,5798,4282,8064,3169
+,783,69,564,9494,7546
-,4584,2903,8024,4592,3899
+,1845,7030,7884,3476,5404
+,7113,5149,4975,5901,2110
+,9379,6480,9010,1418,2784
+,3989,8928,1834,2888,9764
+,6806,1931,6108,6349,3027
+,8939,4208,8731,3611,3195
+,4235,3150,5605,6892,7136
+,6590,4840,1886,4662,4894
+,2,4235,7588,1750,4956
+,7963,2399,7185,8413,4798
-,4438,2358,4726,1459,7936
+,9165,7978,2817,429,200
+,5595,1425,7771,9634,3142
+,6499,8152,4671,4348,2063
+,4025,2288,5820,1030,4073
+,6895,1953,9805,5802,6933
+,8963,530,4265,4462,7291
+,2624,9665,4116,6198,8512
+,3890,1664,372,2986,6106
+,5828,2514,3034,5444,8629
+,5617,9035,5293,8468,6574
-,9040,4837,7932,9989,7303
+,1389,5911,5487,4214,3168
+,6272,3919,800,7407,1958
+,4735,5307,889,79,9364
+,634,8810,5456,2936,110
+,3534,508,1335,8640,5636
+,1615,9122,2694,1014,8610
+,4607,2921,8673,6878,9612
+,8279,3470,3418,9020,4874
+,8846,1128,414,7701,5471
+,1917,228,9470,9372,7499
-,6276,7611,742,7520,418
+,5963,7846,2125,5916,7763
+,3222,8122,3763,1982,2264
+,1420,246,8057,1087,4948
+,1641,4391,4329,1914,570
+,2254,740,34,9268,55
+,5542,2953,7719,7759,4197
+,4458,6608,5086,8082,4221
+,8639,1022,7471,7756,2390
+,1042,9406,9638,1418,5292
+,2901,1810,1145,8466,3739
-,5338,1202,5451,3449,1508
+,2403,6567,4255,8656,7987
+,1416,4495,5517,8941,5956
+,7937,9389,3075,8476,2801
+,9333,826,8200,2769,5522
+,4600,4670,3092,3570,4334
+,5037,7079,2135,4731,9138
+,5586,8328,3187,9369,8267
+,5229,4615,8582,2416,3812
+,611,3781,7637,3116,1890
+,9801,5120,7942,6521,7194
-,7420,2165,4230,9776,467
+,3679,4935,8815,3223,1571
+,2454,7216,9560,3275,9069
+,4615,6307,4417,9135,6817
+,2281,3834,8879,6218,4216
+,8388,3529,6736,8514,6706
+,920,4749,9005,3833,4129
+,571,2596,8282,1484,4089
+,353,1052,3696,7563,246
+,6896,6871,7791,6761,9737
+,8133,60,5698,8216,4599
-,3405,7064,9624,5412,7180
+,2451,8777,7292,8318,3410
+,1186,2230,5797,7827,3689
+,9645,5795,3021,9482,1419
+,7320,8069,7201,3551,5412
+,971,9127,4366,3257,3144
+,5100,3918,9138,9064,395
+,1905,5262,2100,7906,3084
+,4104,1536,890,970,3393
+,3039,393,5306,2356,3595
+,8309,8570,7725,2834,6655
-,8759,6651,4981,762,3899
+,2540,8852,6576,3193,1174
+,3235,7226,9903,1577,6776
+,2082,7408,2128,8340,8288
+,3557,4622,4050,1914,2063
+,1937,4739,9402,3866,2369
+,6045,2041,2587,6949,6814
+,2515,998,1623,4727,8986
+,622,9560,5795,6644,9565
+,4396,9644,9090,7404,8319
+,4678,8778,9947,179,3058
-,9210,3685,8656,9891,3563
+,9790,8471,9698,1811,4370
+,2288,9908,1729,8959,1349
+,8221,8395,2919,965,3060
+,8002,2172,4977,7585,9933
+,4655,2994,3533,5792,2317
+,4713,2764,8340,2061,9679
+,6573,8535,3513,3637,4509
+,5021,4412,5431,3881,4593
+,9334,2301,5688,7053,9548
+,6186,3902,4430,157,7681
-,1284,3998,6078,4082,492
+,8990,6132,3666,9345,655
+,9565,646,6994,5414,7236
+,9319,2901,2847,5822,999
+,8515,5255,5660,4795,626
+,2100,3047,6447,2508,9601
+,799,9423,5940,2082,906
+,8743,1762,5717,542,9074
+,3565,3503,8192,3323,7332
+,1988,9940,8589,774,4159
+,5422,8495,3332,3385,2249
-,4265,2909,9951,6380,8895
+,4197,853,6730,1050,4042
+,9167,7749,8780,5600,254
+,744,4759,8080,2574,3997
+,9788,102,4148,6258,9907
+,5195,6137,8246,7198,2108
+,6067,1270,9102,1351,4760
+,6623,4853,454,5988,6528
+,9780,2905,7271,7224,5996
+,704,3928,8683,1929,5694
+,2430,6990,8033,5587,600
-,1648,3943,980,8333,1937
+,3673,4554,3077,5320,2596
+,2701,6123,6193,4821,204
+,2491,5889,818,6460,4144
+,1083,3698,3790,4124,4234
+,8301,5760,2121,3113,4409
+,2088,5288,9661,1913,6742
+,2832,9064,8829,8801,1506
+,4218,4867,2296,5688,7927
+,6875,5782,8187,2718,5626
+,869,6958,8326,970,4915
-,7000,3993,2798,7717,5550
+,2917,1500,4181,1588,3140
+,9828,7435,8047,3418,3820
+,4004,346,596,6357,7878
+,8642,7849,9338,4179,7503
+,3070,1403,6585,290,119
+,2384,8724,9057,5885,4282
+,5708,5640,9147,1684,4142
+,5884,4433,2877,6067,1153
+,5038,5942,1931,1079,6695
+,9011,7784,9041,9426,9946
-,2458,204,2695,7623,9169
+,7032,4187,4513,8272,4048
+,1038,116,7342,2720,317
+,8228,6300,4578,5033,6425
+,700,1358,3717,9148,3329
+,1150,5095,55,1264,6479
+,6232,9755,7759,6538,7530
+,7411,5893,4566,9589,3745
+,7820,1838,3984,9016,8391
+,993,5795,2713,6731,2870
+,1806,683,218,3214,8523
-,3090,3890,3276,5395,2613
+,5420,2119,6232,6789,7613
+,6881,288,426,9498,2292
+,6755,2421,7414,5692,9062
+,862,3572,9060,4838,363
+,5572,7258,8740,6411,6924
+,5031,8806,9830,7581,4795
+,5081,2776,64,1315,584
+,9123,5772,9453,8848,553
+,5833,8836,1594,4797,6108
+,330,6407,4653,2484,4067
-,4228,8482,1358,9462,1664
+,1514,9222,9296,3984,4463
+,1752,2956,6945,3666,1994
+,8942,2964,4322,5670,3679
+,435,7784,1783,9255,2651
+,1314,2303,4220,5118,8545
+,8670,567,4759,3131,1276
+,7212,2690,2041,7119,4184
+,2673,7061,3781,6678,4071
+,5720,359,8385,6577,9438
+,7635,3115,7813,1353,7799
-,261,9309,5514,9940,1491
+,8120,8125,6321,5495,2526
+,4660,2306,6395,9146,5526
+,3028,3294,7284,5467,8390
+,5890,9283,6746,7912,1316
+,2047,1484,8726,9956,5291
+,5919,5201,4353,8707,1879
+,5620,9855,8974,4963,1104
+,6413,7083,462,2727,6260
+,3005,2012,6908,4010,1888
+,4897,7392,1784,6836,1464
-,8729,4450,5441,9281,9088
+,5574,1328,8380,1035,3344
+,144,5406,1392,861,7776
+,240,3255,4343,8953,4349
+,6478,8239,1544,6510,3073
+,8866,4910,1051,3445,5426
+,4243,5421,4166,8538,6937
+,6504,8257,9679,9925,5336
+,8669,8095,8986,176,991
+,6281,8344,8633,5345,9941
+,2425,6545,3765,3184,404
-,5429,8148,3538,2075,9311
+,7152,890,3775,1490,4459
+,3840,5795,4539,8567,2639
+,9996,2010,3366,3263,8104
+,5696,5546,6515,6572,4542
+,9511,8095,9239,1598,3012
+,7897,8672,3226,9357,159
+,874,8907,2763,7094,4049
+,787,7402,940,6262,7783
+,9459,5620,8919,2314,2861
+,3143,1792,4076,2424,7875
-,5288,8993,299,7851,3905
+,8196,1050,4354,6607,396
+,623,4280,8696,409,8458
+,1980,1506,3760,9022,1790
+,9758,7071,7992,2164,5725
+,5686,171,1752,8391,1417
+,3389,7676,8532,3932,6431
+,4344,5608,8140,6633,469
+,2844,6004,5292,281,3822
+,2984,2348,9009,5245,1189
+,6595,3550,344,6349,8333
-,7715,6292,8046,2803,8861
+,6976,4577,8407,5408,2993
+,4043,3277,4743,2958,4820
+,9662,7645,7606,1710,8436
+,3608,5492,8613,6115,5529
+,9678,8994,3099,4659,6087
+,6614,2351,4276,7184,2860
+,3219,9385,7784,630,4176
+,4884,7536,6822,3839,5289
+,2259,870,3954,9770,8775
+,7749,3693,8385,5120,7506
-,5919,5201,4353,8707,1879
+,592,393,4191,3829,4751
+,9169,9171,7709,7307,7613
+,441,7417,4945,7114,9089
+,8674,2873,8704,9883,5804
+,3453,3597,6264,1128,1788
+,5155,9075,5411,4947,6166
+,9514,6822,5581,8392,3503
+,5669,4475,1790,7424,3673
+,3688,2387,2228,8357,1254
+,5373,2777,2900,3080,7239
-,2013,2313,9949,1881,3626
+,9719,1210,6473,4375,5194
+,7808,6091,7649,4120,3688
+,5353,9365,4943,1150,1515
+,3159,3804,7464,358,9151
+,2042,7661,6847,6057,1095
+,9051,1858,1937,4129,9402
+,2661,1528,3577,441,6981
+,8010,407,7145,9503,1392
+,5222,4727,7791,7112,1154
+,3189,6250,1376,9399,1678
-,9276,8636,6274,9712,6934
+,6667,4753,5517,1494,1785
+,1258,2908,4688,6613,1643
+,8851,255,4459,8876,5503
+,8951,4158,839,1886,2611
+,8258,2837,1189,9981,4905
+,2839,3754,3395,9137,3131
+,1971,8994,5606,8148,3517
+,4621,576,8258,6513,2082
+,492,9399,4277,6371,7518
+,5745,1833,6809,9322,3848
-,717,5699,8166,2725,4480
+,690,7827,3533,93,3225
+,1975,7039,757,9711,1049
+,1057,5209,9231,2617,2251
+,7166,4823,1257,9840,4690
+,7045,5363,275,4098,8661
+,6807,4058,5929,2610,6394
+,1961,1547,6524,9227,4223
+,8023,6357,2164,4281,5952
+,826,282,435,5020,7874
+,8741,641,970,8105,4798
-,6109,9365,7889,7911,5791
+,3382,9199,4094,7463,4938
+,1267,32,400,609,3167
+,4297,7892,6493,583,386
+,9417,8146,4918,899,8245
+,7366,9149,1108,4938,3513
+,6985,4593,2558,9144,7667
+,9350,1535,312,9103,1505
+,1754,1455,8402,4558,2779
+,7123,2140,184,2142,2967
+,6690,5807,4702,4920,2085
-,306,3875,1011,9002,957
+,5415,2213,9072,333,2056
+,7969,703,3611,8531,1993
+,9989,3976,21,3028,3151
+,7081,5607,8554,1536,1589
+,6366,8550,3162,1377,5304
+,5594,7405,169,9409,5397
+,6996,5948,2959,4148,5047
+,4090,3517,6039,9677,8349
+,9314,4455,3979,4599,2971
+,4213,7773,3450,8337,175
-,2153,4861,996,3577,2093
+,7800,3968,9740,3142,5764
+,9873,60,9220,4148,9262
+,5761,3228,5700,5525,3615
+,5573,2773,4223,2740,5780
+,8231,2217,7003,7459,4570
+,8042,4165,5887,8144,2968
+,6652,9954,5050,9699,3665
+,2879,7543,8729,1665,2577
+,2932,7660,7959,8646,5512
+,4143,1099,2593,2042,7094
-,5596,6395,1524,4232,7010
+,7669,9993,6810,2454,1302
+,8611,9285,5172,6768,8110
+,4939,7084,5632,8279,5635
+,4198,927,1984,6239,9024
+,7906,3554,5255,7485,2512
+,6784,6213,6210,7491,4259
+,4956,7380,9861,3806,69
+,8989,6272,5928,7360,4480
+,2349,2393,6972,9751,7148
+,781,88,8455,3423,2580
-,5192,1990,3498,631,3866
+,282,8370,5285,2856,8792
+,6015,20,1239,9906,5440
+,2531,4958,1924,1288,943
+,5741,4326,4982,1231,9026
+,528,3463,1505,9122,1994
+,183,8103,2343,2752,1877
+,7147,6079,7126,1567,6295
+,6002,4596,9383,576,4109
+,3843,9263,48,4305,6926
+,8592,8179,6380,7818,611
-,8580,2078,1139,8953,1087
+,7964,2488,3731,137,3653
+,2371,8575,794,6254,564
+,1804,7702,833,9171,6466
+,1549,7274,8812,3319,32
+,4142,7440,3363,1863,4698
+,8099,2093,9096,4642,9108
+,313,426,8293,7721,1126
+,2927,2764,9943,8266,1951
+,1166,2441,5537,2811,550
+,3224,8979,648,4050,9816
-,3608,5492,8613,6115,5529
+,9023,8623,3003,7834,9824
+,9493,4524,7584,9346,6343
+,4208,2581,1904,8191,3272
+,930,5373,3998,4158,591
+,9869,9248,5252,5824,6231
+,8421,2433,3228,9154,1291
+,3029,4724,9621,1332,656
+,9357,4103,3238,2947,6956
+,3824,1539,1070,248,3075
+,277,6003,41,1635,3731
-,1061,1823,9497,285,5756
+,7977,76,4442,1578,7419
+,5668,7354,5771,9629,725
+,2536,8851,9720,6044,6472
+,1949,8797,4184,9409,8727
+,8522,1117,6153,4564,6736
+,9775,1300,9074,3869,3074
+,6258,604,3290,155,3639
+,6606,2992,9297,7543,9522
+,2951,5857,9841,1189,7429
+,9479,4035,5174,9322,7511
-,2236,9626,3821,8163,8434
+,9187,3509,978,8145,7997
+,4113,5341,8149,8140,9700
+,3922,1009,6947,2290,8969
+,4399,9989,2229,5740,9867
+,4469,2112,4248,1093,7295
+,903,9475,8727,9436,8968
+,1714,3849,6805,923,8199
+,2867,3957,5285,9789,6010
+,6342,8875,6981,7498,865
+,6380,3869,3116,7728,2161
-,8386,2895,977,1718,4608
+,9772,336,1424,7331,217
+,9130,3522,8498,2068,4824
+,3713,6550,3727,1792,5213
+,8403,4274,6594,7634,3041
+,2987,124,9304,7568,7469
+,9159,4269,2563,5288,6740
+,7899,8961,5875,5515,6475
+,3069,7543,3766,9827,6996
+,3331,6067,263,661,806
+,4082,746,3050,1703,7912
-,6953,1138,2681,1999,3370
+,9234,8984,3191,5624,8521
+,7079,278,2758,1989,1407
+,1147,2520,4665,8778,7202
+,537,8485,9713,6180,3755
+,5780,9114,3365,471,3986
+,2898,8251,9961,9727,5685
+,636,6571,8325,522,1073
+,1548,306,6174,7508,5373
+,4677,6645,9701,9101,5273
+,9035,5625,8415,5934,682
-,6472,9970,729,2425,840
+,4421,8001,5880,8709,3192
+,4412,2581,4678,9245,1570
+,2080,2273,5363,6610,3000
+,1629,8899,7893,5267,8473
+,4035,4858,735,141,480
+,5667,8496,8926,1901,6751
+,8652,2704,7511,3932,5057
+,4069,6389,2432,5213,6751
+,2669,9561,1482,1929,7420
+,4585,4320,3506,7976,8405
-,1240,1609,1310,6309,8012
+,8844,1338,7880,3502,7413
+,3023,8433,3389,8133,8531
+,1768,7245,5117,4528,6913
+,5944,1820,8356,3255,7611
+,8149,1831,9314,9861,8434
+,5130,5496,1417,8674,8258
+,2779,4972,405,9322,8005
+,5808,6520,5542,6605,399
+,3625,1097,1321,3605,1006
+,4649,3242,5005,3049,7653
-,859,2229,9806,1379,9231
+,2205,3765,761,662,1321
+,2683,7190,9323,8896,2979
+,9774,9363,1967,5220,4778
+,2178,3735,8380,4363,5799
+,5121,5278,4047,1023,1596
+,1440,9810,2886,8548,5976
+,6228,3739,4776,7859,4418
+,2965,7218,3669,3555,32
+,4619,7342,4795,3566,6802
+,45,3576,4245,8024,1007
-,662,1032,4969,9338,1886
+,7425,8765,9740,8499,3571
+,8782,7302,3670,7517,1056
+,7016,92,2860,2573,8904
+,6879,7465,8614,4697,2051
+,6147,3254,1433,4117,8981
+,7596,1011,3548,5528,2969
+,4654,8077,6771,2266,7289
+,1495,9204,9425,590,9628
+,6361,7853,2989,7559,6639
+,7640,6774,7858,3833,4979
-,1520,6837,720,7501,7241
+,5520,7232,2889,7975,4377
+,7129,519,8635,7147,9847
+,8448,597,8428,4748,7154
+,5957,9117,235,5099,1065
+,5935,4773,7442,3217,6017
+,503,4589,1477,4728,9068
+,7019,5418,7675,7876,360
+,5933,3439,9137,4004,3407
+,9124,3305,8138,8420,8612
+,9235,7657,2051,7274,5789
-,4565,501,2094,9378,5533
+,3466,2461,7140,6623,3054
+,1626,7897,5313,8485,2388
+,2416,6350,3180,1419,1340
+,2949,4147,7863,2197,8773
+,4694,9968,1117,1135,990
+,7513,9681,472,4223,4818
+,994,3244,6611,5038,6703
+,201,2648,4688,9745,2577
+,2645,3477,3087,2173,13
+,4120,7539,5333,3217,7885
-,3788,6651,4877,2633,947
+,8708,5310,5711,8003,761
+,8787,9502,8885,2233,2260
+,2036,8756,6075,6162,9862
+,6444,5760,9808,6075,7638
+,5089,8749,5775,7285,9530
+,4609,9189,2617,5027,9962
+,4982,1314,9051,485,3907
+,9283,7078,2692,6290,1571
+,6348,9355,1583,5025,969
+,9727,6451,6270,2790,3903
-,2150,6220,1798,6104,1694
+,7538,8429,3618,455,3068
+,6701,7497,7730,7137,8296
+,5272,2670,2346,697,2225
+,3733,4781,790,6947,54
+,1241,4410,7512,3208,3581
+,4050,6850,778,6857,4691
+,6139,2182,2691,9291,3457
+,8955,1713,252,5479,5261
+,5507,1331,9405,9056,2542
+,3491,8937,9426,8423,3994
-,7772,5333,7498,3322,7777
+,1433,6458,3587,2953,5376
+,8862,7244,5427,4133,2312
+,5269,3600,479,4806,3511
+,2391,6837,564,4270,263
+,4317,2875,1821,3466,8182
+,5051,4198,6256,3807,6327
+,5993,8427,276,9655,5017
+,2260,9676,6959,3974,2971
+,6188,9694,55,3645,3690
+,389,4840,5625,7799,4452
-,8971,9729,746,8802,418
+,5666,1750,5895,5829,892
+,6426,1461,3694,3709,835
+,1557,2024,9707,405,9629
+,9427,1314,330,3414,3611
+,1401,7251,3158,1389,5461
+,6952,5604,6680,5464,6635
+,5700,6288,9249,9506,6653
+,6709,3292,1151,5434,1681
+,5749,9255,1700,8461,2633
+,3690,5224,9391,5434,406
-,3185,3241,5823,2493,5861
+,8908,2911,4391,1386,7981
+,9274,9702,7305,6626,8076
+,9277,1755,513,3862,6015
+,4702,5344,8245,5018,492
+,2996,9890,5604,2125,476
+,8157,4051,3778,9032,2165
+,1161,1295,8243,3595,6952
+,1564,5345,1863,9451,9934
+,21,1864,6858,790,6061
+,6572,9227,3653,7752,6774
-,2721,5497,4110,9318,2875
+,8900,5511,5286,3234,5615
+,1928,1512,4372,1465,5804
+,3067,8414,2852,4964,3792
+,4037,1993,3071,6174,7661
+,7155,4880,1149,9070,3276
+,2216,1463,9226,1627,5653
+,4915,6450,4395,3166,4993
+,5743,1264,1149,1550,531
+,3276,8326,4947,8576,9648
+,1943,2854,1077,2493,5643
-,5965,3212,3263,8899,9911
+,3140,7285,6292,9493,2137
+,7719,9635,2303,9273,7579
+,5043,2125,381,7008,9806
+,9136,2953,5791,9405,2032
+,3111,9448,5012,1697,1072
+,4405,6548,5647,1922,7325
+,8139,2679,4560,4989,9357
+,8201,4225,585,6410,7922
+,4832,3296,6962,1927,5508
+,549,9886,2816,9752,6468
-,4768,8972,4520,7248,3203
+,8531,7267,3296,6668,202
+,2759,2883,3148,4734,787
+,3144,5734,9698,9705,7692
+,6462,6564,3235,2967,9541
+,9462,9313,2886,5967,2780
+,264,9317,9633,5194,1147
+,3520,6939,3253,6414,8950
+,3721,4963,3353,6146,5841
+,1550,3571,389,304,9104
+,613,359,1239,4657,9138
-,4102,9554,2016,8213,5862
+,6832,8532,4747,2608,2664
+,9399,9925,7039,8282,2751
+,7299,5403,9756,9179,9568
+,8318,1246,3532,2482,3666
+,8992,418,9185,905,4138
+,4973,1207,3967,9392,5869
+,1708,7290,2791,9121,3554
+,4171,6229,1936,309,9214
+,4494,5697,6995,3106,5111
+,8629,8745,3698,5535,3263
-,7529,3632,777,6957,8217
+,5300,1821,1231,6548,3532
+,8320,4850,5711,2334,3880
+,978,7727,7433,9144,1795
+,1337,1720,2928,573,8787
+,4219,3889,4176,7834,1700
+,2497,8210,825,8361,2504
+,2928,9667,1892,3176,7573
+,8892,9687,8498,8883,3785
+,3874,5550,5955,7694,3051
+,5181,9864,523,6910,7168
-,9139,4488,6874,1297,650
+,7649,2596,9365,7747,2660
+,8796,9535,5981,5235,3896
+,9291,8374,125,9965,4416
+,7702,853,1520,2042,3516
+,2967,7111,135,1592,8576
+,5403,9118,7862,7484,4109
+,708,7470,4281,5330,5894
+,9781,2652,2710,108,9190
+,5522,5621,193,9426,7797
+,8920,6766,4645,9075,423
-,4417,4698,4454,7148,4528
+,7382,7073,1487,2545,8683
+,8368,2852,3626,8573,4324
+,65,190,4467,7740,1897
+,8211,8840,3130,9793,2921
+,2658,2122,1100,5353,4640
+,6440,5878,4182,578,637
+,404,9596,5191,4800,8627
+,8898,4743,4702,8286,6025
+,7614,8467,4937,6155,9851
+,95,6801,8299,6004,8069
-,4220,1554,660,8679,132
+,5102,4536,8987,5732,8954
+,5211,4067,8961,3292,513
